"AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED CAP NOTE 6-",ANZPD
"COMMONWEALTH BANK OF AUSTRALIA. CAP NOTE 3-BBSW+2.80% PERP NON-CUM RED T-12-24",CBAPD
"BENDIGO AND ADELAIDE BANK LIMITED CNV PREF 6-BBSW+3.20% PERP NON-CUM RED T-11-20",BENPE
"ANSELL LIMITED ORDINARY FULLY PAID",ANN
"SWITZER DIVIDEND GROWTH FUND (MANAGED FUND)",SWTZ
